Comunidades autónomas;Tipología penal;Periodos:;Total
CANARIAS;2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2024/2023;-33,3
CANARIAS;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-marzo 2023;307
CANARIAS;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-marzo 2024;314
CANARIAS;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2024/2023;2,3
CANARIAS;4. Secuestro;enero-marzo 2023;1
CANARIAS;4. Secuestro;enero-marzo 2024;0
CANARIAS;4. Secuestro;Variación % 2024/2023;-100,0
CANARIAS;5. Delitos contra la libertad sexual;enero-marzo 2023;252
CANARIAS;5. Delitos contra la libertad sexual;enero-marzo 2024;275
CANARIAS;5. Delitos contra la libertad sexual;Variación % 2024/2023;9,1
CANARIAS;5.1.-Agresión sexual con penetración;enero-marzo 2023;47
CANARIAS;5.1.-Agresión sexual con penetración;enero-marzo 2024;54
CANARIAS;5.1.-Agresión sexual con penetración;Variación % 2024/2023;14,9
CANARIAS;5.2.-Resto de delitos contra la libertad sexual;enero-marzo 2023;205
CANARIAS;5.2.-Resto de delitos contra la libertad sexual;enero-marzo 2024;221
CANARIAS;5.2.-Resto de delitos contra la libertad sexual;Variación % 2024/2023;7,8
CANARIAS;6. Robos con violencia e intimidación;enero-marzo 2023;515
CANARIAS;6. Robos con violencia e intimidación;enero-marzo 2024;464
CANARIAS;6. Robos con violencia e intimidación;Variación % 2024/2023;-9,9
CANARIAS;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-marzo 2023;945
CANARIAS;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-marzo 2024;810
